date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
3/17/2020,2,0,2,0,2,0,0,0,0
3/18/2020,0,0,0,0,0,0,0,0,0
3/19/2020,0,0,0,0,0,0,0,0,0
3/20/2020,1,0,1,0,1,0,0,0,0
3/21/2020,4,0,4,0,4,0,0,0,0
3/22/2020,4,1,4,1,4,0,0,0,0
3/23/2020,5,0,5,0,5,0,0,0,0
3/24/2020,2,0,2,0,2,0,0,0,0
3/25/2020,3,0,3,0,3,0,0,0,0
3/26/2020,5,0,5,0,5,0,0,0,0
3/27/2020,2,1,2,1,2,0,0,0,0
3/28/2020,6,0,6,0,6,0,0,0,0
3/29/2020,5,0,5,0,5,0,0,0,0
3/30/2020,4,0,4,0,4,0,0,0,0
3/31/2020,5,0,5,0,5,0,0,0,0
4/1/2020,2,0,2,0,2,0,0,0,0
4/2/2020,2,0,2,0,2,0,0,0,0
4/3/2020,5,0,5,0,5,0,0,0,0
4/4/2020,3,0,3,0,3,0,0,0,0
4/5/2020,2,0,2,0,2,0,0,0,0
4/6/2020,2,1,2,1,2,0,0,0,0
4/7/2020,1,0,1,0,1,0,0,0,0
4/8/2020,1,0,1,0,1,0,0,0,0
4/9/2020,2,0,2,0,2,0,0,0,0
4/10/2020,3,0,3,0,3,0,0,0,0
4/11/2020,3,0,3,0,3,0,0,0,0
4/12/2020,5,0,5,0,5,0,0,0,0
4/13/2020,1,0,1,0,1,0,0,0,0
4/14/2020,3,0,3,0,3,0,0,0,0
4/15/2020,2,0,2,0,2,0,0,0,0
4/16/2020,2,0,2,0,2,0,0,0,0
4/17/2020,1,0,1,0,1,0,0,0,0
4/18/2020,0,0,0,0,0,0,0,0,0
4/19/2020,1,0,1,0,1,0,0,0,0
4/20/2020,1,0,1,0,1,0,0,0,0
4/21/2020,2,0,2,0,2,0,0,0,0
4/22/2020,2,0,2,0,2,0,0,0,0
4/23/2020,1,0,1,0,1,0,0,0,0
4/24/2020,1,0,1,0,1,0,0,0,0
4/25/2020,2,0,2,0,2,0,0,0,0
4/26/2020,0,0,0,0,0,0,0,0,0
4/27/2020,1,0,1,0,1,0,0,0,0
4/28/2020,1,0,1,0,1,0,0,0,0
4/29/2020,1,0,1,0,1,0,0,0,0
4/30/2020,2,0,2,0,2,0,0,0,0
5/1/2020,0,0,0,0,0,0,0,0,0
5/2/2020,1,0,1,0,1,0,0,0,0
5/3/2020,1,0,1,0,1,0,0,0,0
5/4/2020,0,0,0,0,0,0,0,0,0
5/5/2020,2,0,2,0,2,0,0,0,0
5/6/2020,0,0,0,0,0,0,0,0,0
5/7/2020,1,0,1,0,1,0,0,0,0
5/8/2020,0,0,0,0,0,0,0,0,0
5/9/2020,1,0,1,0,1,0,0,0,0
5/10/2020,1,0,1,0,1,0,0,0,0
5/11/2020,0,0,0,0,0,0,0,0,0
5/12/2020,1,0,1,0,1,0,0,0,0
5/13/2020,2,1,2,1,2,0,0,0,0
5/14/2020,0,0,0,0,0,0,0,0,0
5/15/2020,0,0,0,0,0,0,0,0,0
5/16/2020,0,0,0,0,0,0,0,0,0
5/17/2020,0,0,0,0,0,0,0,0,0
5/18/2020,1,0,1,0,1,0,0,0,0
5/19/2020,0,0,0,0,0,0,0,0,0
5/20/2020,0,0,0,0,0,0,0,0,0
5/21/2020,1,0,1,0,1,0,0,0,0
5/22/2020,0,0,0,0,0,0,0,0,0
5/23/2020,0,0,0,0,0,0,0,0,0
5/24/2020,0,0,0,0,0,0,0,0,0
5/25/2020,0,0,0,0,0,0,0,0,0
5/26/2020,0,0,0,0,0,0,0,0,0
5/27/2020,0,0,0,0,0,0,0,0,0
5/28/2020,0,0,0,0,0,0,0,0,0
